Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
23.0,4.7,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,18,3.15
33.0,4.7,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,13.58
39.0,4.8,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,29,2.98
32.0,4.1,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,38,8.94
22.0,5.0,Stormy,Jam,2,Meal,electric_scooter,0.0,No,Urban,23,10.76
22.0,4.6,Stormy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,27,6.08
31.0,4.3,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,36,11.01
33.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,Urban,25,9.31
36.0,3.6,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,31,12.26
36.0,4.4,Sandstorms,Medium,0,Drinks,motorcycle,1.0,Yes,Metropolitian,48,12.16
36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,1.55
29.0,4.5,Fog,High,1,Snack,scooter,0.0,No,Metropolitian,22,3.0
32.0,4.6,Stormy,High,1,Buffet,scooter,1.0,No,Metropolitian,27,1.53
36.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,3.07
26.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,24,16.9
35.0,4.1,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,38,10.57
35.0,4.8,Windy,Low,1,Meal,motorcycle,1.0,No,Urban,21,4.59
27.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,27,12.42
29.0,4.9,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,24,17.14
22.0,4.5,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,36,12.42
26.0,4.9,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15,13.62
31.0,4.2,Fog,Jam,0,Buffet,motorcycle,1.0,No,Urban,32,7.65
37.0,4.6,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Urban,19,19.36
36.0,4.7,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,29,4.61
23.0,4.6,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,18,6.13
20.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Urban,11,16.85
39.0,4.5,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,24,1.53
37.0,5.0,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,28,12.44
28.0,4.8,Fog,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,12,7.32
25.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,27,10.57
30.0,4.9,Fog,Medium,2,Meal,motorcycle,1.0,No,Urban,15,4.54
33.0,5.0,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,10.91
23.0,5.0,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,39,13.76
34.0,4.0,Sandstorms,High,2,Snack,electric_scooter,0.0,No,Metropolitian,34,1.57
33.0,4.7,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,25,4.61
22.0,4.6,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,9.06
20.0,4.8,Stormy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,28,12.26
39.0,4.7,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,29,9.22
25.0,4.7,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,25,12.42
39.0,5.0,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,21,2.98
36.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,9.19
39.0,4.6,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,15,7.55
32.0,5.0,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,13.97
35.0,4.4,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,31,17.3
32.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,16,9.12
38.0,4.8,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,17.14
23.0,4.8,Cloudy,Low,1,Snack,scooter,0.0,No,Metropolitian,12,3.15
28.0,4.7,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,39,16.65
26.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,16,3.04
34.0,4.0,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,38,14.02
35.0,4.9,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,41,13.68
35.0,4.4,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,33,5.86
32.0,4.4,Windy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,16.38
24.0,4.6,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,27,13.97
36.0,4.4,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22,7.79
22.0,4.6,Cloudy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,14,7.76
36.0,4.4,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,31,12.29
24.0,4.7,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,17,12.42
38.0,4.9,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22,19.76
23.0,4.9,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Urban,24,13.58
21.0,4.8,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,21,9.12
38.0,4.8,Sandstorms,Medium,1,Meal,scooter,0.0,No,Metropolitian,34,9.06
32.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Semi-Urban,53,16.9
34.0,4.5,Sunny,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,17,4.6
33.0,4.9,Fog,Jam,1,Snack,scooter,0.0,No,Urban,49,10.57
26.0,4.8,Sandstorms,High,2,Drinks,motorcycle,0.0,No,Metropolitian,12,6.04
34.0,3.9,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,12.44
25.0,4.6,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,25,17.1
35.0,4.1,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,52,16.39
22.0,4.5,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,20,9.22
27.0,4.6,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,11,2.98
38.0,4.8,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,19.62
25.0,4.8,Cloudy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,21,5.87
26.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,16.38
36.0,4.7,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,27,16.38
38.0,4.7,Cloudy,Medium,1,Meal,scooter,0.0,No,Urban,15,6.29
20.0,3.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,7.56
39.0,4.3,Stormy,Jam,2,Snack,scooter,2.0,No,Metropolitian,42,17.1
26.0,4.9,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,21,19.67
32.0,4.2,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,12.46
33.0,3.8,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,34,12.42
35.0,4.6,Fog,High,2,Snack,motorcycle,1.0,No,Metropolitian,28,6.21
21.0,4.8,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,36,17.08
32.0,4.9,Fog,Jam,2,Meal,electric_scooter,1.0,Yes,Metropolitian,42,12.46
25.0,5.0,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,27,9.19
37.0,4.2,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,34,10.59
34.0,4.7,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,6.29
35.0,4.5,Windy,Low,1,Snack,motorcycle,0.0,No,Urban,20,3.05
25.0,4.9,Cloudy,Low,0,Snack,motorcycle,0.0,No,Urban,24,13.97
20.0,4.7,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,23,9.08
31.0,4.7,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,27,3.15
35.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,7.68
27.0,4.8,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Urban,11,6.21
20.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,11,20.89
28.0,4.5,Windy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,16,7.77
29.0,4.8,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,4.66
23.0,4.7,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,29,13.83
32.0,4.5,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,29,8.94
31.0,4.8,Stormy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,21,10.6
39.0,4.7,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,26,10.7
26.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,11,8.79
26.0,4.8,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,18,5.96
33.0,5.0,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,28,9.31
38.0,4.3,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,17.3
30.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,20,3.04
27.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,27,4.72
27.0,4.7,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,3.12
36.0,4.7,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,32,6.06
38.0,3.7,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,31,16.85
31.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,17,3.03
23.0,4.9,Fog,High,2,Snack,scooter,1.0,No,Metropolitian,29,3.06
24.0,4.9,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,23,10.76
33.0,4.7,Fog,Jam,2,Drinks,scooter,2.0,No,Metropolitian,49,10.57
39.0,4.7,Stormy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,45,16.15
25.0,4.6,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,25,13.83
28.0,4.3,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,12.1
22.0,4.8,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Urban,26,6.29
32.0,5.0,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Urban,10,1.51
21.0,4.5,Cloudy,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,46,13.79
31.0,4.8,Stormy,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,27,4.66
28.0,4.8,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,12,7.76
30.0,4.7,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,37,9.31
37.0,4.7,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,16,3.02
23.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,21,4.67
24.0,5.0,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,19,13.63
36.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,52,19.76
36.0,4.9,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,28,10.6
39.0,4.6,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,31,9.22
38.0,4.8,Fog,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,42,13.68
38.0,4.4,Fog,Jam,2,Drinks,electric_scooter,2.0,No,Metropolitian,39,19.97
39.0,4.9,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,17.14
30.0,4.4,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,36,11.72
31.0,4.7,Stormy,Medium,1,Snack,scooter,0.0,No,Metropolitian,23,13.68
25.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,48,11.92
32.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,24,4.72
30.0,5.0,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,10,7.68
28.0,4.3,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,3.02
33.0,4.5,Sunny,High,1,Snack,scooter,0.0,No,Urban,15,1.51
33.0,5.0,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,31,3.06
22.0,4.7,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,15,19.89
25.0,5.0,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Urban,24,4.66
22.0,4.8,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,28,8.79
22.0,4.8,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,19,10.87
29.0,4.4,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,7.45
38.0,4.9,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,21,10.87
20.0,4.9,Fog,Medium,2,Buffet,scooter,0.0,No,Metropolitian,16,7.57
23.0,4.5,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,24,13.99
37.0,3.3,Sunny,Low,0,Buffet,motorcycle,1.0,No,Urban,34,10.91
20.0,5.0,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,28,14.02
26.0,4.7,Sunny,Medium,1,Drinks,scooter,0.0,No,Urban,13,6.08
23.0,4.8,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,15,3.06
35.0,4.0,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,7.56
32.0,5.0,Sandstorms,High,1,Drinks,scooter,1.0,No,Urban,32,6.21
22.0,4.6,Windy,Jam,1,Buffet,scooter,1.0,No,Urban,16,12.42
26.0,4.5,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,37,19.98
36.0,4.8,Windy,Low,2,Meal,motorcycle,1.0,No,Urban,20,17.08
25.0,4.7,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,30,9.31
39.0,4.4,Fog,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,42,19.4
35.0,3.7,Stormy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,33,13.68
33.0,4.5,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,25,9.09
38.0,4.7,Fog,High,0,Meal,motorcycle,1.0,No,Metropolitian,28,6.13
35.0,4.9,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,16.82
34.0,4.4,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,43,20.89
32.0,4.0,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,7.79
29.0,4.7,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,1.55
31.0,4.8,Cloudy,Medium,1,Drinks,scooter,0.0,No,Urban,16,6.13
29.0,4.8,Windy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,25,12.12
29.0,4.8,Sunny,Low,1,Meal,motorcycle,1.0,No,Metropolitian,19,3.1
24.0,4.6,Stormy,Jam,1,Meal,scooter,0.0,No,Metropolitian,17,7.76
31.0,4.8,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,16,1.52
30.0,4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,15,6.06
24.0,5.0,Windy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,26,1.51
32.0,4.8,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,20.85
38.0,5.0,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,13.18
34.0,4.1,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38,4.6
27.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,22,11.9
21.0,5.0,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,18,1.55
23.0,4.6,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,16,7.65
37.0,4.2,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,40,17.1
35.0,4.4,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,32,10.76
30.0,3.7,Sandstorms,Medium,1,Meal,scooter,0.0,No,Metropolitian,39,12.24
39.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,40,14.15
38.0,4.9,Sunny,Low,2,Meal,electric_scooter,1.0,No,Urban,18,3.03
28.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,20,16.38
33.0,4.6,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,26,3.04
